postcode,brma_name
AB54 5LG,Aberdeen and Shire
AB54 5LH,Aberdeen and Shire
AB54 5LJ,Aberdeen and Shire
AB54 5LL,Aberdeen and Shire
AB54 5LN,Aberdeen and Shire
AB54 5LP,Aberdeen and Shire
AB54 5LQ,Aberdeen and Shire
AB54 5LR,Aberdeen and Shire
AB54 5LS,Aberdeen and Shire
AB54 5LT,Aberdeen and Shire
AB54 5LU,Aberdeen and Shire
AB54 5LW,Aberdeen and Shire
AB54 5LX,Aberdeen and Shire
AB54 5LY,Aberdeen and Shire
AB54 5LZ,Aberdeen and Shire
AB54 5N,Aberdeen and Shire
AB54 5P,Aberdeen and Shire
AB54 5Q,Aberdeen and Shire
AB54 5R,Aberdeen and Shire
AB54 5S,Aberdeen and Shire
AB54 5T,Aberdeen and Shire
AB54 5U,Aberdeen and Shire
AB54 5X,Aberdeen and Shire
AB54 5Y,Aberdeen and Shire
AB54 6,Aberdeen and Shire
AB54 7A,Aberdeen and Shire
AB54 7JP,Aberdeen and Shire
AB54 7JQ,Aberdeen and Shire
AB54 7JR,Aberdeen and Shire
AB54 7JS,Aberdeen and Shire
AB54 7JT,Aberdeen and Shire
AB54 7JX,Highland and Isles
AB54 7LA,Highland and Isles
AB54 7LB,Aberdeen and Shire
AB54 7LD,Aberdeen and Shire
AB54 7LE,Aberdeen and Shire
AB54 7LF,Aberdeen and Shire
AB54 7LG,Aberdeen and Shire
AB54 7LJ,Aberdeen and Shire
AB54 7LL,Aberdeen and Shire
AB54 7LN,Aberdeen and Shire
AB54 7LP,Aberdeen and Shire
AB54 7LQ,Aberdeen and Shire
AB54 7LR,Aberdeen and Shire
AB54 7LS,Aberdeen and Shire
AB54 7LT,Aberdeen and Shire
AB54 7LU,Aberdeen and Shire
AB54 7LW,Aberdeen and Shire
AB54 7LX,Aberdeen and Shire
AB54 7LY,Aberdeen and Shire
AB54 7LZ,Aberdeen and Shire
AB54 7N,Aberdeen and Shire
AB54 7P,Aberdeen and Shire
AB54 7Q,Aberdeen and Shire
AB54 7R,Aberdeen and Shire
AB54 7S,Aberdeen and Shire
AB54 7T,Aberdeen and Shire
AB54 7U,Aberdeen and Shire
AB54 7W,Aberdeen and Shire
AB54 7X,Aberdeen and Shire
AB54 7Y,Aberdeen and Shire
AB54 7Z,Aberdeen and Shire
AB54 8,Aberdeen and Shire
AB54 9,Aberdeen and Shire
AB55 3A,Highland and Isles
AB55 3B,Highland and Isles
AB55 3D,Highland and Isles
AB55 3E,Highland and Isles
AB55 3F,Highland and Isles
AB55 3G,Highland and Isles
AB55 3H,Highland and Isles
AB55 3J,Highland and Isles
AB55 3L,Highland and Isles
AB55 3N,Highland and Isles
AB55 3P,Highland and Isles
AB55 3Q,Highland and Isles
AB55 3R,Highland and Isles
AB55 3SA,Highland and Isles
AB55 3SB,Highland and Isles
AB55 3SD,Highland and Isles
AB55 3SE,Highland and Isles
AB55 3SH,Highland and Isles
AB55 3SJ,Highland and Isles
AB55 3SL,Highland and Isles
AB55 3SN,Highland and Isles
AB55 3SP,Highland and Isles
AB55 3SQ,Aberdeen and Shire
AB55 3SR,Highland and Isles
AB55 3SS,Highland and Isles
AB55 3ST,Highland and Isles
AB55 3SU,Highland and Isles
AB55 3SX,Highland and Isles
AB55 3SY,Highland and Isles
AB55 3T,Highland and Isles
AB55 3U,Highland and Isles
AB55 3X,Highland and Isles
AB55 3Y,Highland and Isles
AB55 3Z,Highland and Isles
AB55 4,Highland and Isles
AB55 5,Highland and Isles
AB55 6,Highland and Isles
AB56,Highland and Isles
AB9,Aberdeen and Shire
AL1 ,South West Herts
AL10,South East Herts
AL2,South West Herts
AL3 4,South West Herts
AL3 5,South West Herts
AL3 6,South West Herts
AL3 7,South West Herts
AL3 8A,South West Herts
AL3 8B,South West Herts
AL3 8D,South West Herts
AL3 8E,South West Herts
AL3 8F,South West Herts
AL3 8H,South West Herts
AL3 8J,South West Herts
AL3 8L,South West Herts
AL3 8N,South West Herts
AL3 8P,South West Herts
AL3 8QA,South West Herts
AL3 8QB,South West Herts
AL3 8QD,South West Herts
AL3 8QE,Luton
AL3 8QF,South West Herts
AL3 8QG,South West Herts
AL3 8QH,South West Herts
AL3 8QJ,South West Herts
AL3 8QL,South West Herts
AL3 8QN,South West Herts
AL3 8QP,South West Herts
AL3 8QQ,South West Herts
AL3 8QR,South West Herts
AL3 8QS,South West Herts
AL3 8QT,South West Herts
AL3 8QU,South West Herts
AL3 8QW,South West Herts
AL3 8R,South West Herts
AL3 8S,South West Herts
AL3 8U,South West Herts
AL3 8W,South West Herts
AL3 8X,South West Herts
AL3 8Z,South West Herts
AL4 0A,South West Herts
AL4 0B,South West Herts
AL4 0D,South West Herts
AL4 0E,South West Herts
AL4 0F,South West Herts
AL4 0G,South West Herts
AL4 0H,South West Herts
AL4 0J,South West Herts
AL4 0L,South West Herts
AL4 0NA,South West Herts
AL4 0NB,South West Herts
AL4 0ND,South West Herts
AL4 0NE,South West Herts
AL4 0NF,South West Herts
AL4 0NG,South West Herts
AL4 0NH,South West Herts
AL4 0NJ,South West Herts
AL4 0NL,South West Herts
AL4 0NN,South West Herts
AL4 0NP,South West Herts
AL4 0NQ,South West Herts
AL4 0NR,South West Herts
AL4 0NS,South West Herts
AL4 0NT,South West Herts
AL4 0NU,South West Herts
AL4 0NW,South West Herts
AL4 0NX,South East Herts
AL4 0NY,South East Herts
AL4 0NZ,South West Herts
AL4 0P,South West Herts
AL4 0QA,South West Herts
AL4 0QB,South West Herts
AL4 0QD,South West Herts
AL4 0QE,South West Herts
AL4 0QF,South West Herts
AL4 0QG,South West Herts
AL4 0QH,South West Herts
AL4 0QJ,South West Herts
AL4 0QL,South East Herts
AL4 0QN,South West Herts
AL4 0QP,South West Herts
AL4 0QQ,South West Herts
AL4 0QR,South East Herts
AL4 0QS,South East Herts
AL4 0QT,South East Herts
AL4 0QU,South West Herts
AL4 0QW,South West Herts
AL4 0QX,South East Herts
AL4 0QZ,South West Herts
AL4 0RA,South West Herts
AL4 0RB,South West Herts
AL4 0RD,South West Herts
AL4 0RE,South West Herts
AL4 0RF,South West Herts
AL4 0RG,South West Herts
AL4 0RH,South West Herts
AL4 0RJ,South West Herts
AL4 0RL,South West Herts
AL4 0RN,South West Herts
AL4 0RP,South West Herts
AL4 0RQ,South West Herts
AL4 0RR,South West Herts
AL4 0RS,South West Herts
AL4 0RT,South West Herts
AL4 0RU,South West Herts
AL4 0RW,South West Herts
AL4 0RX,South West Herts
AL4 0RY,South West Herts
AL4 0RZ,South East Herts
AL4 0S,South West Herts
